Well,Easting,Northing,Latitude,Longitude
atlas,653523.9460707,8158307.615707,-16.65267861111,154.43955
botein,652587.7147133,8157411.965436,-16.66083333333,154.4308333333
capella,652954.2587678,8157948.019637,-16.65596527778,154.4342336111
deneb,652390.6754077,8156955.995978,-16.66496666667,154.4290166667
electra,2143051.716,26768067.231,-16.64728388889,154.4364930556
furud,653771.9542756,8157280.499579,-16.66194444444,154.4419444444
gomeisa,652801.2926295,8158686.05792,-16.64930555556,154.43275
heze,653060.8816674,8157285.619841,-16.66194444444,154.4352777778
izar,653634.4478536,8158756.916129,-16.64861111111,154.4405555556
kraz,653929.1957502,8158539.624245,-16.65055555556,154.4433333333
sirius,2141635.666018,26765477.77954,-16.654444444444444,154.4325
talitha,653720.586786,8158169.199339,-16.65391666667,154.4414027778
